X,Y,objectid,codigo_via,pr,distanciap,nombre,administra,territoria,latsig,longsig,cat_1,cat_4,cat_5,cat_6,cat_7,link_foto,sector,cat_2,cat_3,ruleid
-75.301936087426952,2.785583797078091,71,4505,0,0,LOS CAUCHOS,CONCESION ANI,HUILA,2.7855838,-75.30193609,7700,22700,25600,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/los_cauchos.jpg,Garzón - Neiva,8400,17900,2
-75.858869306023252,4.999048816281747,72,2507,0,0,ACAPULCO,CONCESION ANI,RISARALDA,4.99904882,-75.85886931,7700,22700,25600,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/acapulco.jpg,La Virginia - Remolinos,8400,17900,2
-74.684617350067512,5.203102936031883,77,5008,0,0,BICENTENARIO,INVIAS,CUNDINAMARCA,5.20310294,-74.68461735,8400,30600,35600,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/bicentenario.jpg,Honda - Villeta,10800,25400,5
-75.468140396017986,6.830502480584746,78,2511,0,0,LOS LLANOS,INVIAS,ANTIOQUIA,6.83050248,-75.4681404,7900,23100,25900,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/los_llanos.jpg,Los Llanos - Tarazá,8600,18200,5
-74.94499546438918,10.208126787948602,79,2515,0,0,CALAMAR,CONCESION ANI,ATLANTICO,10.20812679,-74.94499546,7700,22700,25600,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/calamar.jpg,Carreto - Calamar,8400,17900,2
-74.820344513319256,5.201507469083699,80,5007,0,0,HONDA,CONCESION ANI,TOLIMA,5.20150747,-74.82034451,10000,11500,24700,33700,36500,http://hermes.invias.gov.co/carreteras/images/peajes/honda.jpg,Fresno - Honda,10700,11100,2
-75.125421058836963,9.68130032251123,81,2515,0,0,EL CARMEN,CONCESION ANI,BOLIVAR,9.68130032,-75.12542106,8200,23800,26800,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/el_carmen.jpg,Puerta de Hierro - Carreto,8900,18700,2
-73.945532867074419,4.809532135804686,83,5009,0,0,LA CABAÑA,CONCESION ANI,CUNDINAMARCA,4.80953214,-73.94553287,8900,31900,43700,44000,0,http://hermes.invias.gov.co/carreteras/images/peajes/la_cabana.jpg,Bogotá (Los Patios) - Guasca,14000,21800,2
-74.010579176111605,4.66372451409488,84,5009,0,0,LOS PATIOS,CONCESION ANI,CUNDINAMARCA,4.66372451,-74.01057918,8900,31900,43700,44000,0,http://hermes.invias.gov.co/carreteras/images/peajes/patios.jpg,Bogotá (Los Patios) - Guasca,14000,21800,2
-74.613509649667591,5.497275876898482,85,5008B,0,0,EL KORÁN,CONCESION ANI,CUNDINAMARCA,5.49727588,-74.61350965,11900,49500,61500,72900,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,El Korán - Guaduas,16700,23600,2
